School,TeamName,KenpomRank,SOS,Win %,Confrence,Avg.Exp,Scoring Margin,NET,KenPomO,PPG,OpposingKenPomD,FT%,FTA,FG%,FGA,FGM,3pt%,3ptm,3pta,2pt%,2ptm,2pta,Assists,Turnovers,Efg%,Adj.Tempo,Offensive Rebounds,PPGA,KenPomD,OpposingKenPomO,Rebounds,Forced Turnovers,Blocks,Opp fg%,Opp fgm,Opp fga,Opp 3pt%,Opp 3ptm,Opp 3pta,Opp 2pt%,Opp 2ptm,Opp 2pta,OPP Efg%,Opponent rebounds,OpponentOffensiveRebounds,OFTA,Assists/TO Ratio
Akron,Zips,6.58,138,0.82,MAC,2.60,10.10,91,113.70,84.60,109.10,0.75,16.76,0.47,64.62,30.60,0.36,10.90,29.79,0.57,19.71,34.82,18.10,12.00,0.55,71.40,10.00,74.50,107.20,104.70,38.80,12.60,3.70,0.43,26.30,61.44,0.31,7.40,23.50,0.50,18.94,37.94,0.50,34.50,8.80,20.06,1.51
Duke,Blue Devils,38.16,26,0.91,ACC,2.30,20.80,1,128.00,82.70,102.40,0.78,18.97,0.49,59.12,28.90,0.38,10.10,26.82,0.58,18.74,32.29,16.80,9.60,0.57,67.70,9.90,61.90,89.80,112.40,38.60,11.80,3.80,0.39,22.30,57.76,0.31,6.80,21.91,0.43,15.56,35.85,0.45,30.50,7.70,14.68,1.75
Alabama State,Hornets,-9.24,262,0.56,SWAC,2.91,1.20,274,101.40,73.40,109.40,0.69,18.88,0.41,63.47,25.70,0.33,9.00,27.18,0.46,16.74,36.29,11.80,9.10,0.47,67.70,9.30,72.20,110.60,100.10,36.20,13.10,2.90,0.44,24.80,56.91,0.33,7.40,22.32,0.50,17.38,34.59,0.50,39.60,9.20,21.91,1.30
North Carolina,Tarheels,19.55,16,0.63,ACC,2.89,5.80,36,118.90,80.80,101.20,0.74,21.00,0.48,60.29,28.70,0.35,7.90,22.31,0.55,20.83,37.97,14.70,10.80,0.54,70.40,7.90,75.00,99.30,113.30,36.70,10.80,3.70,0.43,26.70,61.69,0.34,7.80,23.40,0.49,18.83,38.29,0.50,33.00,8.50,18.49,1.36
SDSU,Aztecs,16.27,51,0.70,MWC,2.33,7.20,52,109.80,70.90,102.40,0.66,18.07,0.44,57.53,25.50,0.34,7.70,23.00,0.52,17.83,34.53,13.10,11.00,0.51,66.00,8.20,63.60,93.50,111.10,35.40,13.40,5.50,0.38,20.80,55.07,0.30,7.80,25.90,0.44,12.97,29.17,0.45,35.30,9.30,20.20,1.19
Xavier,Muskateers,17.20,71,0.66,Big East,4.38,7.20,45,115.50,78.00,101.70,0.79,21.13,0.47,56.81,26.50,0.39,8.30,21.25,0.51,18.25,35.56,16.90,11.20,0.54,69.10,6.20,70.90,98.40,111.10,33.70,12.30,2.60,0.44,25.90,58.38,0.34,7.30,21.69,0.51,18.53,36.69,0.51,32.30,7.40,16.41,1.51
Texas,Longhorns,17.15,46,0.56,SEC,3.70,6.20,39,116.70,78.40,100.20,0.75,21.65,0.46,59.18,27.32,0.36,7.50,20.94,0.52,19.79,38.24,13.00,9.90,0.53,67.40,9.10,72.20,99.50,114.20,35.70,11.50,4.40,0.42,24.62,58.12,0.33,7.00,21.03,0.48,17.62,37.09,0.48,34.90,9.00,22.82,1.31
Creighton,Blue Jays,18.70,39,0.71,Big East,2.67,5.70,38,116.90,75.20,100.70,0.73,16.18,0.48,56.82,26.97,0.34,9.40,27.85,0.61,17.53,28.97,17.10,12.30,0.56,67.00,7.50,69.50,98.20,112.20,37.70,8.00,4.60,0.41,27.03,65.59,0.33,7.60,23.12,0.46,19.47,42.47,0.47,34.30,9.20,11.09,1.39
Louisville,Cardinals,22.64,31,0.79,ACC,4.38,9.70,23,118.10,78.60,102.30,0.74,20.47,0.45,59.35,27.00,0.33,9.40,28.53,0.57,17.56,30.82,14.00,11.40,0.53,68.70,9.70,68.90,95.50,112.60,37.40,12.90,2.90,0.43,24.90,58.65,0.34,7.00,23.29,0.48,17.06,35.35,0.49,33.30,8.40,15.74,1.23
Purdue ,Boilermakers,23.84,4,0.67,Big Ten,2.22,6.80,19,124.20,77.90,99.70,0.73,19.55,0.49,56.45,27.70,0.39,8.30,21.52,0.56,19.39,34.94,16.00,10.40,0.56,65.00,8.20,71.10,100.40,115.40,32.40,11.80,1.70,0.46,25.50,56.18,0.31,7.40,24.00,0.56,18.18,32.18,0.52,30.90,8.70,17.40,1.54
Wisconsin,Badgers,25.97,35,0.74,Big Ten,3.33,9.30,14,122.00,79.70,100.40,0.83,19.91,0.45,59.00,26.70,0.35,9.90,28.40,0.55,16.74,30.60,14.60,9.70,0.55,67.60,7.40,70.40,96.00,114.20,36.50,10.00,2.30,0.41,25.10,60.69,0.33,7.80,23.71,0.47,17.31,36.97,0.48,34.00,8.60,17.03,1.51
Auburn,Tigers,35.05,2,0.85,SEC,3.88,14.20,2,128.40,83.80,98.10,0.74,20.64,0.48,61.55,29.70,0.37,9.20,24.97,0.56,20.52,36.58,16.50,9.20,0.56,67.60,10.20,69.60,93.40,117.10,37.10,12.00,6.20,0.41,23.60,57.61,0.29,5.80,20.03,0.47,17.73,37.58,0.46,33.30,8.90,22.61,1.79
Clemson,Tigers,23.93,53,0.82,ACC,3.50,11.20,22,118.70,76.30,103.10,0.77,16.70,0.47,59.24,27.55,0.37,8.50,22.76,0.52,19.09,36.48,14.40,10.50,0.54,64.20,9.70,65.70,94.70,111.40,35.30,13.40,3.60,0.43,24.00,56.15,0.32,6.90,21.48,0.49,17.09,34.67,0.49,32.30,8.90,15.48,1.37
VCU,Rams,20.61,99,0.82,A10,3.44,14.70,31,116.30,77.10,98.00,0.74,19.53,0.45,59.56,26.56,0.33,9.50,28.35,0.55,17.09,31.21,15.00,11.30,0.52,66.10,11.70,62.40,95.70,106.90,38.40,13.80,5.50,0.39,21.18,54.62,0.30,5.80,19.09,0.43,15.38,35.53,0.44,33.30,8.60,19.85,1.33
BYU,Cougars,22.39,76,0.73,Big 12,3.10,10.10,24,123.00,81.00,100.70,0.71,18.00,0.48,59.70,28.80,0.37,10.70,28.85,0.59,18.09,30.85,17.20,12.10,0.57,67.20,9.20,70.90,100.60,111.80,37.50,11.90,3.20,0.43,24.90,58.09,0.35,9.00,25.79,0.49,15.94,32.30,0.51,31.50,7.50,17.12,1.42
Georgia,Bulldogs,19.39,13,0.63,SEC,2.67,6.30,33,115.40,75.60,100.20,0.72,22.53,0.46,56.56,26.20,0.34,7.00,20.81,0.54,19.25,35.75,12.50,12.90,0.53,66.40,9.90,69.30,96.00,113.90,36.60,12.30,5.20,0.41,24.30,59.34,0.31,7.40,24.09,0.48,16.84,35.25,0.47,32.50,9.70,17.52,0.97
Tennessee,Volunteers,31.15,6,0.79,SEC,3.67,11.70,5,120.30,74.70,100.70,0.74,20.06,0.46,56.65,25.80,0.34,8.30,24.38,0.54,17.47,32.26,15.50,10.50,0.53,63.60,9.70,63.00,89.10,116.60,36.60,11.70,5.00,0.38,21.70,56.94,0.28,7.10,25.71,0.47,14.59,31.24,0.44,31.70,8.30,16.76,1.48
Arkansas,Razorbacks,17.71,41,0.61,SEC,2.89,5.50,40,112.90,76.60,100.90,0.73,20.70,0.47,58.24,27.15,0.33,7.10,21.39,0.54,20.03,36.85,14.50,11.70,0.53,69.30,7.50,71.20,95.20,114.70,35.30,12.40,5.60,0.42,25.33,60.36,0.32,7.60,23.85,0.49,17.73,36.52,0.48,34.50,8.80,17.76,1.24
Kansas,Jayhawks,23.26,8,0.64,Big 12,3.78,6.90,20,116.00,76.20,99.30,0.71,15.00,0.47,61.67,29.10,0.35,7.40,21.12,0.53,21.64,40.55,17.70,11.70,0.53,68.30,8.90,69.30,92.70,114.80,38.50,10.90,4.80,0.40,24.50,61.39,0.31,7.70,24.97,0.46,16.79,36.42,0.46,34.70,8.80,17.21,1.51
Yale,Bulldogs,11.05,124,0.76,Ivy League,2.50,11.90,72,115.10,81.70,109.00,0.73,19.28,0.49,61.10,30.00,0.39,7.60,19.66,0.53,22.34,42.14,16.30,10.00,0.55,67.20,9.20,69.70,104.00,106.40,38.70,11.30,3.70,0.41,23.90,58.83,0.33,9.30,28.10,0.47,14.59,30.72,0.49,31.50,7.90,16.79,1.63
Texas A & M,Aggies,24.08,9,0.69,SEC,3.80,6.40,18,116.20,74.30,99.30,0.70,25.00,0.42,59.97,25.00,0.31,7.00,22.53,0.48,17.97,37.44,11.90,12.30,0.48,66.10,13.60,67.90,92.10,115.50,41.20,13.40,4.10,0.40,22.20,55.03,0.33,9.60,25.84,0.46,13.56,29.19,0.48,32.00,7.80,19.44,0.97
Missouri,Tigers,24.42,28,0.67,SEC,3.45,10.50,16,125.30,84.50,100.70,0.73,27.03,0.49,57.70,28.00,0.37,8.80,23.94,0.57,19.15,33.76,13.80,10.70,0.56,68.20,9.70,73.80,100.90,113.70,34.30,14.10,2.70,0.44,25.50,57.61,0.33,7.30,21.97,0.51,18.18,35.64,0.51,32.80,9.50,20.30,1.29
Utah State,Aggies,15.22,73,0.79,MWC,3.30,10.90,37,120.70,80.90,103.00,0.70,21.70,0.49,57.88,28.30,0.37,9.00,24.58,0.58,19.36,33.30,17.40,10.70,0.56,67.50,9.50,70.00,105.50,108.70,34.60,13.90,2.80,0.44,24.00,54.61,0.34,8.10,23.88,0.52,15.91,30.73,0.52,31.60,8.20,19.33,1.63
UCLA,Bruins,21.76,44,0.69,Big Ten,2.60,9.00,27,116.80,74.80,101.10,0.70,19.06,0.47,57.91,27.00,0.35,7.30,20.88,0.53,19.66,37.03,16.30,10.60,0.53,64.90,9.70,65.70,95.10,113.60,32.70,15.20,3.00,0.43,22.30,51.75,0.33,7.70,23.19,0.51,14.63,28.56,0.51,31.20,7.80,17.91,1.54
UC San Diego,Tritons,18.77,156,0.88,Big West,3.50,18.10,35,115.20,79.80,107.40,0.75,19.09,0.47,58.71,27.40,0.37,10.80,29.56,0.57,16.53,29.15,15.90,8.70,0.55,65.60,6.80,61.60,96.50,105.80,33.90,16.00,2.20,0.40,21.10,53.41,0.33,7.80,23.56,0.45,13.38,29.85,0.48,34.10,7.30,15.41,1.83
Michigan,Wolverines,22.28,7,0.74,Big Ten,3.10,7.00,23,116.00,78.20,99.60,0.73,20.35,0.47,58.21,27.60,0.33,8.30,24.74,0.58,19.32,33.47,16.10,14.10,0.55,69.40,9.10,71.20,93.70,114.40,38.20,11.40,3.60,0.40,25.30,62.82,0.31,7.60,24.41,0.46,17.62,38.41,0.46,33.50,9.40,17.88,1.14
Texas Tech,Red Raiders,28.05,58,0.76,Big 12,3.50,13.30,7,125.30,80.90,100.60,0.76,18.00,0.47,60.55,28.50,0.38,10.20,27.03,0.54,18.21,33.52,16.60,10.00,0.56,65.40,9.80,67.60,97.20,111.80,36.70,11.70,3.00,0.43,24.10,56.64,0.32,6.10,19.30,0.48,18.00,37.33,0.48,32.30,8.60,19.00,1.66
Baylor,Bears,21.15,22,0.58,Big 12,3.38,7.30,30,120.80,76.50,98.00,0.75,18.52,0.45,60.45,27.10,0.35,8.50,24.15,0.51,18.61,36.30,14.60,11.00,0.52,64.50,10.70,69.20,99.70,113.70,36.00,12.70,2.90,0.43,24.20,55.76,0.35,7.90,22.61,0.49,16.27,33.15,0.51,32.70,9.00,18.48,1.33
Mississippi State,Bulldogs,20.10,21,0.64,SEC,3.25,5.60,34,118.70,79.80,100.20,0.70,20.09,0.45,63.48,28.60,0.31,8.40,26.85,0.55,20.21,36.64,15.30,10.60,0.52,68.10,11.50,74.20,98.60,115.00,38.20,13.40,4.50,0.44,25.40,57.76,0.36,9.20,25.52,0.50,16.15,32.24,0.52,35.60,8.80,20.45,1.44
Alabama ,Crimson Tide,29.93,1,0.76,SEC,2.90,9.70,6,126.50,91.10,98.70,0.72,25.85,0.48,64.42,31.10,0.35,10.40,29.79,0.60,20.67,34.64,16.80,12.80,0.56,74.90,11.00,81.40,96.60,118.20,43.10,10.40,4.50,0.43,28.90,68.09,0.31,7.40,23.91,0.49,21.55,44.18,0.48,36.70,10.30,23.06,1.31
Iowa State,Cyclones,26.99,57,0.73,Big 12,3.50,12.30,9,119.40,80.40,100.70,0.76,22.36,0.48,58.12,27.90,0.36,7.70,21.42,0.55,20.21,36.70,15.00,11.90,0.55,68.60,8.80,68.10,92.40,113.30,35.40,15.40,3.50,0.42,23.90,57.42,0.33,7.80,23.36,0.48,16.18,34.06,0.48,31.80,8.40,16.58,1.26
